CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR
CERTIFIED,FLUKE CORPORATION,GENERAL AND OPERATIONS MANAGERS,PRODUCT INNOVATION MANAGER,Y,100610.0,2016
CERTIFIED,"NES GLOBAL, LLC",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,138403.0,2016
CERTIFIED,SUPERIOR HOME HEALTH,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,62628.8,2016
CERTIFIED,THE GLAM APP,GENERAL AND OPERATIONS MANAGERS,BUSINESS MANAGER,N,57034.0,2016
CERTIFIED,CAR CLINIC VIRGINIA INC.,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,77626.0,2016
CERTIFIED,VIZQUEST VENTURES LLC,GENERAL AND OPERATIONS MANAGERS,"DIRECTOR, JAPANESE BUSINESS DEVELOPMENT",Y,111862.0,2016
CERTIFIED,KNORR-BREMSE POWERTECH CORP. USA,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,86133.0,2016
CERTIFIED,SICHEF INCORPORATED,GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,67475.0,2016
CERTIFIED,"HEART & LUNG CENTER OF SOUTHEAST TEXAS, PA",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER - DEVELOPMENT,Y,83616.0,2016
DENIED,ARAPURA INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,60000.0,2016
CERTIFIED,OLD WESTBURY GOLF & COUNTRY CLUB INC.,GENERAL AND OPERATIONS MANAGERS,DINING ROOM OPERATIONS MANAGER,N,69098.0,2016
CERTIFIED,SUSHI KO CHEVY CHASE LLC,GENERAL AND OPERATIONS MANAGERS,"MANAGER, OPERATIONS",Y,98717.0,2016
CERTIFIED,"OWENS CORNING SALES, LLC",GENERAL AND OPERATIONS MANAGERS,PRODUCT MANAGER,Y,93700.0,2016
CERTIFIED,SWIFT SOLUTIONS INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,86133.0,2016
CERTIFIED,"IRON SYSTEMS, INC.",GENERAL AND OPERATIONS MANAGERS,CORPORATE STRATEGY MANAGER,Y,99819.0,2016
CERTIFIED,ELYSIUM INDUSTRIES LIMITED,GENERAL AND OPERATIONS MANAGERS,VICE PRESIDENT OF LATIN AMERICA,Y,70117.0,2016
CERTIFIED,PANTHAL INC.,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF RESTAURANT OPERATIONS,Y,72821.0,2016
CERTIFIED,OWLER INC.,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER - PRODUCT DEVELOPMENT,Y,109595.0,2016
CERTIFIED,DYNAMOND BUILDING MAINTENANCE,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,37419.0,2016
CERTIFIED,CANTU'S SPECIAL EVENTS LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,35714.0,2016
CERTIFIED,GRANISER LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL & OPERATIONS MANAGER,Y,77625.6,2016
CERTIFIED,"ATLANTIC TELE-NETWORK, INC.",GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF FIXED NETWORK ENGINEERING,Y,111862.0,2016
CERTIFIED,"BISTA SOLUTIONS, INC.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS DIRECTOR,Y,87526.0,2016
CERTIFIED,PIRTEK USA LLC,GENERAL AND OPERATIONS MANAGERS,CEO,Y,143624.0,2016
CERTIFIED,"CHALTEN CAPITAL, LLC",GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATIONS OFFICER,N,37419.0,2016
WITHDRAWN,GOOD CO INC.,GENERAL AND OPERATIONS MANAGERS,CHIEF OF STAFF,N,68702.0,2016
DENIED,VV PHARMACY INC.,GENERAL AND OPERATIONS MANAGERS,PHARMACY MANAGER SERVICES,Y,74401.6,2016
CERTIFIED,OLD WESTBURY GOLF & COUNTRY CLUB INC.,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,69098.0,2016
CERTIFIED,58 PARTNERS FOUNDATION,GENERAL AND OPERATIONS MANAGERS,PROGRAM DIRECTOR,N,53664.0,2016
CERTIFIED,KINEMS INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,74402.0,2016
CERTIFIED,"EMSER TILE, LLC",GENERAL AND OPERATIONS MANAGERS,SOURCING AND QUALITY MANAGER,Y,122900.0,2016
CERTIFIED,"NES GLOBAL, LLC",GENERAL AND OPERATIONS MANAGERS,DIRECTOR - CLIENT SOLUTIONS,Y,138403.0,2016
CERTIFIED,"TRENDZ BEAUTY CA, INC.",GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGER,N,57034.0,2016
CERTIFIED,URBAN TILL CORP,GENERAL AND OPERATIONS MANAGERS,"DIRECTOR, RESEARCH & DEVELOPMENT",N,48339.0,2016
CERTIFIED,"JOHNS PLUMBING EXPRESS, INC.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,52374.0,2016
CERTIFIED,"PERFECT BUSINESS SERVICES, INC.",GENERAL AND OPERATIONS MANAGERS,MANAGER,N,62629.0,2016
CERTIFIED,"JET.COM, INC.",GENERAL AND OPERATIONS MANAGERS,"SENIOR MANAGER, OPERATIONS AND SUPPLY CHAIN",Y,74402.0,2016
DENIED,HOLIDAY RESORT GUAM,GENERAL AND OPERATIONS MANAGERS,OPERATIONS DIRECTOR,N,55889.6,2016
DENIED,ABRI FOUNDATION,GENERAL AND OPERATIONS MANAGERS,PROGRAMS MANAGER,Y,79414.0,2016
DENIED,VH LISLE LLC.,GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,48339.0,2016
CERTIFIED,BELGO MOBILE LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS SUPERVISOR,Y,74401.6,2016
CERTIFIED,DYNAMOND BUILDING MAINTENANCE,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,37419.0,2016
DENIED,VINAYAKA HOSPITALITY LISLE LLC.,GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,48339.0,2016
CERTIFIED,"INTERNATIONAL LEGAL AND BUSINESS SERVICES GROUP, LLP",GENERAL AND OPERATIONS MANAGERS,GLOBAL COUNSEL (LEGAL MANAGER),N,48339.0,2016
CERTIFIED,CONMETA INC,GENERAL AND OPERATIONS MANAGERS,CONTRACT ADMINISTRATOR,Y,74402.0,2016
CERTIFIED,TANDOORI TASTE OF INDIA DARIEN INC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF RESTAURANT OPERATIONS,Y,75733.0,2016
CERTIFIED,"ATLANTIC TRADING & MARKETING, INC.",GENERAL AND OPERATIONS MANAGERS,CRUDE TRADING MANAGER,Y,175594.0,2016
CERTIFIED,ITECHBRAINS INC,GENERAL AND OPERATIONS MANAGERS,IT RESOURCE MANAGER,N,62629.0,2016
CERTIFIED,MIAMI SUNNY INC,GENERAL AND OPERATIONS MANAGERS,PROGRAM DESIGNER,N,69513.6,2016
CERTIFIED,METALOR TECHNOLOGIES USA CORPORATION,GENERAL AND OPERATIONS MANAGERS,REFINING BUSINESS UNIT MANAGER - AMERICAS,Y,166171.0,2016
CERTIFIED,A3R LLC,GENERAL AND OPERATIONS MANAGERS,PROJECT MANAGER,Y,77626.0,2016
CERTIFIED,ISLES INTERNATIONAL TRADING INC.,GENERAL AND OPERATIONS MANAGERS,MANAGING DIRECTOR,N,64230.0,2016
CERTIFIED,"WARREN INDUSTRIES, INC.",GENERAL AND OPERATIONS MANAGERS,MANAGER OF OPERATIONS,Y,86632.0,2016
CERTIFIED,"WARREN INDUSTRIES, INC.",GENERAL AND OPERATIONS MANAGERS,MANAGER OF OPERATIONS,Y,86632.0,2016
CERTIFIED,"IVARSON, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,51584.0,2016
CERTIFIED,"GUARDLAB, INC.",GENERAL AND OPERATIONS MANAGERS,"VICE PRESIDENT, OPERATIONS",Y,117437.0,2016
CERTIFIED,ML LUBRICATION USA INC.,GENERAL AND OPERATIONS MANAGERS,TECHNICAL DIRECTOR,Y,104187.0,2016
CERTIFIED-WITHDRAWN,"COEUR MINING, INC.",GENERAL AND OPERATIONS MANAGERS,VP NORTH AMERICAN OPERATIONS,Y,141565.0,2016
DENIED,ASAP CORE DRILLING & FIRE SAFETY INC.,GENERAL AND OPERATIONS MANAGERS,PLANNING AND OPERATIONS MANAGER,N,41142.0,2016
CERTIFIED,BRASS MONKEY LLC,GENERAL AND OPERATIONS MANAGERS,GROUP GENERAL MANAGER,Y,74402.0,2016
CERTIFIED,ANDERSON YEH PC,GENERAL AND OPERATIONS MANAGERS,LEGAL MANAGER,N,57033.6,2016
DENIED,ARAPURA INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,60000.0,2016
CERTIFIED,"ALT-OPTIONS, LLC",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,70117.0,2016
CERTIFIED,PITON-SAMMAN LLP,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATIONS OFFICER,Y,77626.0,2016
CERTIFIED-WITHDRAWN,AIM BIG INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,48339.0,2016
CERTIFIED,NINA'S FRESH BAKERY,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,64230.4,2016
CERTIFIED,FOOTYBOOTS LLC,GENERAL AND OPERATIONS MANAGERS,CONSTRUCTION & DEVELOPMENT MANAGER,Y,120474.0,2016
DENIED,QLEEK INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,70117.0,2016
CERTIFIED,VERES FOODS USA INC.,GENERAL AND OPERATIONS MANAGERS,DIRECTOR,Y,160451.0,2016
DENIED,ASSEMBLEDGE INC,GENERAL AND OPERATIONS MANAGERS,BUSINESS MANAGER FOR INTERNATIONAL AFFAIRS AND OPERATIONS,N,57034.0,2016
CERTIFIED,COLES BERMUDA LLC,GENERAL AND OPERATIONS MANAGERS,MANAGING DIRECTOR,Y,75192.0,2016
CERTIFIED,AUTOPODS INC,GENERAL AND OPERATIONS MANAGERS,CHIEF INFORMATION OFFICER,N,52374.4,2016
CERTIFIED,"NES GLOBAL, LLC",GENERAL AND OPERATIONS MANAGERS,SENIOR ACCOUNT MANAGER,N,64002.0,2016
CERTIFIED,"RE-STREAM, CO.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS DIRECTOR,Y,70117.0,2016
CERTIFIED,PLANNED PARENTHOOD FEDERATION OF AMERICA,GENERAL AND OPERATIONS MANAGERS,"MANAGER, DIGITAL MARKETING & COMMUNICATIONS",Y,74402.0,2016
CERTIFIED,OM RX SERVICES LLC,GENERAL AND OPERATIONS MANAGERS,STORE MANAGER,N,62629.0,2016
CERTIFIED,DENTAL AMERICAN GROUP CORP.,GENERAL AND OPERATIONS MANAGERS,REGIONAL OPERATIONS DIRECTOR / DENTAL MANAGER,N,69514.0,2016
CERTIFIED,"CONTACT TOURS, LLC",GENERAL AND OPERATIONS MANAGERS,GENERAL & OPERATIONS MANAGER OF THE FIT DEPARTMENT,N,65437.0,2016
CERTIFIED,STARR INDEMNITY AND LIABILITY COMPANY,GENERAL AND OPERATIONS MANAGERS,HEAD OF GLOBAL CHINA DESK,Y,117437.0,2016
DENIED,"GLOBAL STRATEGIES, INC.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,70117.0,2016
CERTIFIED,EQUIPMENT DEPOT LTD.,GENERAL AND OPERATIONS MANAGERS,BRANCH GENERAL MANAGER,N,64002.0,2016
CERTIFIED,RICULT INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,70117.0,2016
CERTIFIED,OLIVE LED LIGHTING INC.,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,117436.8,2016
CERTIFIED,VV PHARMACY INC.,GENERAL AND OPERATIONS MANAGERS,PHARMACY MANAGER SERVICES,Y,74401.6,2016
CERTIFIED,"JOBGENIE, INC.",GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,Y,71282.0,2016
CERTIFIED,"VDS FARMS, LLC",GENERAL AND OPERATIONS MANAGERS,EQUIPMENT MANAGER,N,46592.0,2016
CERTIFIED,OM RX SERVICES LLC,GENERAL AND OPERATIONS MANAGERS,PHARMACY MANAGER,N,62629.0,2016
CERTIFIED,"AT&T SERVICES, INC.",GENERAL AND OPERATIONS MANAGERS,"EXECUTIVE DIRECTOR, INTERNATIONAL EXTERNAL AFFAIRS, CARIBBEA",Y,137800.0,2016
WITHDRAWN,SEVENROOMS INC.,GENERAL AND OPERATIONS MANAGERS,MARKET RESEARCH ANALYST,Y,74402.0,2016
CERTIFIED,NINEPOINT CAPITAL LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,117437.0,2016
CERTIFIED,VECTRA INFOSYS INC.,GENERAL AND OPERATIONS MANAGERS,BUSINESS DEVELOPMENT MANAGER,N,62629.0,2016
CERTIFIED,HONEYWELL INTERNATIONAL INC.,GENERAL AND OPERATIONS MANAGERS,VP EMERGING & ENTERPRISE SOLUTIONS,Y,212098.0,2016
DENIED,ARAPURA INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,60000.0,2016
CERTIFIED,"BREAD & CHOCOLATE, LLC",GENERAL AND OPERATIONS MANAGERS,COUNTRY MANAGER,N,69514.0,2016
CERTIFIED,"CVR REFINING GP, LLC",GENERAL AND OPERATIONS MANAGERS,VICE PRESIDENT AND GENERAL MANAGER OF REFINING,Y,109574.0,2016
DENIED,BANGOR CHINESE SCHOOL,GENERAL AND OPERATIONS MANAGERS,ASSISTANT ADMINISTRATOR,N,39956.8,2016
CERTIFIED,SEVENROOMS INC.,GENERAL AND OPERATIONS MANAGERS,MARKET RESEARCH ANALYST,Y,74402.0,2016
CERTIFIED,"PANDA EXPRESS, INC.",GENERAL AND OPERATIONS MANAGERS,AREA COACH OPERATIONS-IN TRAINING,N,48090.0,2016
DENIED,CARLTON MULTI SERVICES LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,64002.0,2016
CERTIFIED,SOLE COOL INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,62629.0,2016
WITHDRAWN,SEVENROOMS INC.,GENERAL AND OPERATIONS MANAGERS,MARKET RESEARCH ANALYST,Y,74402.0,2016
CERTIFIED,NEW YORK PAO DE QUEIJO LLC,GENERAL AND OPERATIONS MANAGERS,BUSINESS MANAGER,Y,74401.6,2016
CERTIFIED,HOLIDAY RESORT GUAM,GENERAL AND OPERATIONS MANAGERS,OPERATIONS DIRECTOR,N,55890.0,2016
CERTIFIED,MAHI GRANITES PVT LTD CO.,GENERAL AND OPERATIONS MANAGERS,DISTRICT GENERAL MANAGER,N,64002.0,2016
CERTIFIED,"TORCSILL FOUNDATIONS, LLC",GENERAL AND OPERATIONS MANAGERS,PRESIDENT,Y,175594.0,2016
CERTIFIED,LUMINA DATAMATICS INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER (E-RETAIL SOLUTIONS & SERVICES),Y,70117.0,2016
CERTIFIED,"ROBINSON BROTHERS PORK, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,42765.0,2016
CERTIFIED,"ROBINSON BROTHERS PORK, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,42765.0,2016
DENIED,VISTRA (NEW YORK) INC,GENERAL AND OPERATIONS MANAGERS,COMMERCIAL DIRECTOR,Y,160451.0,2016
CERTIFIED,"LIHMIL, INC.",GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,69285.0,2016
CERTIFIED,"BLOOMAKER USA, INC.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,68536.0,2016
CERTIFIED,KISMET FOODS LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,74401.6,2016
CERTIFIED,ASAP CORE DRILLING & FIRE SAFETY INC.,GENERAL AND OPERATIONS MANAGERS,PLANNING AND OPERATIONS MANAGER,N,41142.0,2016
CERTIFIED,"GLOBAL STRATEGIES, INC.",GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,70117.0,2016
CERTIFIED,E-Z MAILING SERVICES INC.,GENERAL AND OPERATIONS MANAGERS,BUSINESS OPERATIONS MANAGER,Y,86132.8,2016
CERTIFIED,ABRI FOUNDATION,GENERAL AND OPERATIONS MANAGERS,RESEARCH AND DEVELOPMENT MANAGER,Y,79414.0,2016
DENIED,BOSTON INNOVATION GATEWAY LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGERS,Y,72000.0,2016
CERTIFIED,OMEGA-R INC,GENERAL AND OPERATIONS MANAGERS,HEAD OF BUSINESS DEVELOPMENT,Y,74402.0,2016
CERTIFIED,"RAMAGDA ENTERPRISES, LLC",GENERAL AND OPERATIONS MANAGERS,HOTEL MANAGER,Y,86133.0,2016
CERTIFIED,ARAPURA INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,60000.0,2016
DENIED,SCANLAN & RIJSEMUS LLC,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,74402.0,2016
CERTIFIED,ASSEMBLEDGE INC,GENERAL AND OPERATIONS MANAGERS,BUSINESS MANAGER FOR INTERNATIONAL AFFAIRS AND OPERATIONS,N,57034.0,2016
CERTIFIED,ABRI FOUNDATION,GENERAL AND OPERATIONS MANAGERS,PROGRAMS MANAGER,Y,79414.0,2016
CERTIFIED-WITHDRAWN,GALAXY RESTAURANTS CATERING GROUP LP,GENERAL AND OPERATIONS MANAGERS,EXECUTIVE CHEF,Y,74402.0,2016
CERTIFIED,APPLE INC.,GENERAL AND OPERATIONS MANAGERS,ENGINEERING PROJECT MGR,Y,113339.0,2016
CERTIFIED,"ROBINSON BROTHERS PORK, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,42765.0,2016
CERTIFIED,SOLE COOL INC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,62629.0,2016
CERTIFIED,"CVR REFINING GP, LLC",GENERAL AND OPERATIONS MANAGERS,VICE PRESIDENT AND GENERAL MANAGER OF REFINING,Y,109574.0,2016
CERTIFIED,"ROBINSON BROTHERS PORK, INC.",GENERAL AND OPERATIONS MANAGERS,PRODUCTION MANAGER,N,42765.0,2016
CERTIFIED,"NX UTILITIES, LLC",GENERAL AND OPERATIONS MANAGERS,CHIEF EXECUTIVE OFFICER,Y,174429.0,2016
WITHDRAWN,"DAVINCI GROUP HOLDINGS, INC.",GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS & LATIN AMERICAN EXPORTATION,N,62629.0,2016
CERTIFIED,QLEEK INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,70117.0,2016
CERTIFIED,"M.M.K., INC.",GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,N,54059.0,2016
CERTIFIED,"TAPAD, INC.",GENERAL AND OPERATIONS MANAGERS,"VICE PRESIDENT, ADTECH",Y,117437.0,2016
CERTIFIED,VH LISLE LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,48339.0,2016
DENIED,SCANLAN & RIJSEMUS LLC,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,74402.0,2016
CERTIFIED,"CELLPHIRE, INC.",GENERAL AND OPERATIONS MANAGERS,VICE PRESIDENT OPERATIONS,Y,135200.0,2016
CERTIFIED,CAPITAL PLASTICS INTL INC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGER,N,64002.0,2016
CERTIFIED,MANSHA PARTNERS LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,Y,77626.0,2016
CERTIFIED,"DIL MIL, INC",GENERAL AND OPERATIONS MANAGERS,VP OF OPERATIONS & STRATEGY,Y,109595.0,2016
CERTIFIED,"REG SERVICES GROUP, LLC",GENERAL AND OPERATIONS MANAGERS,SENIOR BUSINESS ANALYST,Y,70200.0,2016
CERTIFIED,VISTRA (NEW YORK) INC,GENERAL AND OPERATIONS MANAGERS,COMMERCIAL DIRECTOR,Y,160451.0,2016
CERTIFIED,PREM PHARMACY CORP,GENERAL AND OPERATIONS MANAGERS,PHARMACY MANAGER SERVICES,Y,74401.6,2016
CERTIFIED,LAS VEGAS INDOOR SOCCER INC.,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF SPORTS-OPERATIONS,N,47944.0,2016
CERTIFIED,VINAYAKA HOSPITALITY LISLE LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,N,48339.0,2016
CERTIFIED,QLEEK INC.,GENERAL AND OPERATIONS MANAGERS,CEO,Y,70117.0,2016
CERTIFIED,"SHELADIA ASSOCIATES, INC.",GENERAL AND OPERATIONS MANAGERS,SENIOR INFRASTRUCTURE OPERATIONS MANAGER,Y,135200.0,2016
CERTIFIED,KWS GATEWAY RESEARCH CENTER LLC,GENERAL AND OPERATIONS MANAGERS,"PROGRAM MANAGER, CORN & OILCROPS AMERICAS",N,46051.0,2016
WITHDRAWN,MARIE LANDEL AND ASSOCIATES,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,Y,107515.0,2016
CERTIFIED,POLICYGENIUS INC.,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER (DIRECTOR OF OPERATIONS),Y,117437.0,2016
CERTIFIED,PAYMENT TECHNOLOGIES LIMITED,GENERAL AND OPERATIONS MANAGERS,HEAD OF BUSINESS OPERATIONS-GLOBAL FINANCIAL SERVICES,Y,104645.0,2016
CERTIFIED,NBR WHEELS AND TIRES LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,62629.0,2016
CERTIFIED,"HOSTESS BRANDS SERVICES, LLC",GENERAL AND OPERATIONS MANAGERS,"DIRECTOR,  CAKE MANUFACTURING / CONTINUOUS IMPROVEMENT",Y,70928.0,2016
CERTIFIED,"GUARDLAB, INC.",GENERAL AND OPERATIONS MANAGERS,"VICE PRESIDENT, OPERATIONS",Y,117437.0,2016
CERTIFIED,LAXMI NARAYANA CORPORATION,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,52374.0,2016
CERTIFIED,A3R LLC,GENERAL AND OPERATIONS MANAGERS,PROJECT MANAGER,Y,77626.0,2016
CERTIFIED,SCANLAN & RIJSEMUS LLC,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,74402.0,2016
DENIED,BOSTON INNOVATION GATEWAY LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGERS,N,54455.0,2016
CERTIFIED,"VIII HOTEL II TB INVESTORS, LLC",GENERAL AND OPERATIONS MANAGERS,GENERAL MANAGER,Y,160451.0,2016
CERTIFIED,"KEOLIS AMERICA, INC.",GENERAL AND OPERATIONS MANAGERS,VP BOSTON RECOVERY PROGRAM,Y,182291.0,2016
CERTIFIED,"CHENIERE ENERGY, INC.",GENERAL AND OPERATIONS MANAGERS,OUTAGE PLANNING MANAGER,Y,117021.0,2016
CERTIFIED-WITHDRAWN,CARLTON MULTI SERVICES LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,64002.0,2016
DENIED,KARAMJOT CORPORATION,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,57033.6,2016
CERTIFIED,THE ROCKEFELLER FOUNDATION,GENERAL AND OPERATIONS MANAGERS,"ASSOCIATE DIRECTOR, NETWORK ENGAGEMENT AND BELLAGIO PROGRAMS",Y,117437.0,2016
CERTIFIED,SKAGWAY JEWELRY CO LLC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,N,46654.0,2016
CERTIFIED,SKAGWAY JEWELRY CO LLC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,Y,72675.0,2016
WITHDRAWN,BOSTON INNOVATION GATEWAY LLC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGER,N,54454.0,2016
CERTIFIED,"MPOWERD, INC.",GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS AND STRATEGIC PLANNING,Y,74402.0,2016
CERTIFIED,SKAGWAY JEWELRY CO LLC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,N,46654.0,2016
CERTIFIED,SKAGWAY JEWELRY CO LLC,GENERAL AND OPERATIONS MANAGERS,DIRECTOR OF OPERATIONS,Y,72675.0,2016
CERTIFIED,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,GENERAL AND OPERATIONS MANAGERS,ADMINISTRATIVE MANAGER,N,58261.0,2016
CERTIFIED,CAMERON INTERNATIONAL CORPORATION,GENERAL AND OPERATIONS MANAGERS,PROPOSAL PROJECT MANAGER,Y,101192.0,2016
WITHDRAWN,SCANLAN & RIJSEMUS LLC,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,74402.0,2016
CERTIFIED,BUILDING MARKETS LTD,GENERAL AND OPERATIONS MANAGERS,CHIEF OPERATING OFFICER,Y,100568.0,2016
CERTIFIED,GEMOLOGICAL INSTITUTE OF AMERICA (GIA),GENERAL AND OPERATIONS MANAGERS,"ASSOCIATE MANAGER, OPERATIONS SERVICES",N,58261.0,2016
CERTIFIED,"FRIENDLY'S ICE CREAM, LLC",GENERAL AND OPERATIONS MANAGERS,"SENIOR DIRECTOR, OPERATIONS",Y,81723.0,2016
CERTIFIED,BOSTON INNOVATION GATEWAY,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGERS,Y,70117.0,2016
CERTIFIED,"JEUGENE, INC.",GENERAL AND OPERATIONS MANAGERS,CHIEF EXECUTIVE OFFICER,Y,74402.0,2016
CERTIFIED,YUPANA LLC,GENERAL AND OPERATIONS MANAGERS,OPERATIONS MANAGER,N,67475.0,2016
CERTIFIED,"TRANSDEV SERVICES, INC.",GENERAL AND OPERATIONS MANAGERS,"VICE PRESIDENT, OPERATIONAL PERFORMANCE",Y,141565.0,2016
CERTIFIED,"UNIVERSAL TRADING & CONSULTATION, INC.",GENERAL AND OPERATIONS MANAGERS,BUSINESS DEVELOPMENT (OPERATIONS) MANAGER,Y,70117.0,2016
CERTIFIED-WITHDRAWN,"AMERICAN AIRLINES, INC.",GENERAL AND OPERATIONS MANAGERS,"MANAGER, PROGRAM MANAGEMENT",Y,85155.0,2016
CERTIFIED,DELOITTE CONSULTING LLP,GENERAL AND OPERATIONS MANAGERS,MANAGER,Y,113318.0,2016
CERTIFIED,BANGOR CHINESE SCHOOL,GENERAL AND OPERATIONS MANAGERS,ASSISTANT ADMINISTRATOR,N,39956.8,2016
CERTIFIED,ACCESS HEALTH INTERNATIONAL INC.,GENERAL AND OPERATIONS MANAGERS,MANAGING DIRECTOR,Y,117437.0,2016
CERTIFIED,"MILLICOM INTERNATIONAL SERVICES, LLC",GENERAL AND OPERATIONS MANAGERS,3RD PARTY CHANNELS PROGRAMMING CHIEF - LATIN AMERICA,Y,135533.0,2016
CERTIFIED,AERSHIN INC,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGERS,N,62629.0,2016
CERTIFIED,KARAMJOT CORPORATION,GENERAL AND OPERATIONS MANAGERS,GENERAL AND OPERATIONS MANAGER,N,57033.6,2016
